time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.41347152938514e-07,-8.427535395867815e-09,10.005484857190993,6.283175306079837,0.000531066425029536,0.0,-5.9825644437113953e-05,-8.499576473797264e-07,0.18281625289426015,-0.0005021878642704787,0.02237990920855049,0.0,461.62887557915195,463.3910909631524,462.37119639527106,462.33164222468696
0.12000000000000001,-2.3554317500831753e-05,-5.48646081247717e-07,10.023508745837807,6.2828870373189645,0.0018191859214713446,0.0,-0.0008611559948459384,-3.438030663862398e-05,0.41792300374962854,-0.015212927202483201,0.019581052105512753,0.0,477.4467382464425,477.23315806050323,479.0367273403677,477.91706178551505
0.18,-0.00011876886074300973,-1.2687530796182902e-05,10.05231460632036,6.281833644498947,0.00297131255134353,0.0,-0.0024354420390467757,-0.00047354974919875005,0.5422206517857586,-0.022712106175609627,0.018433310187583957,0.0,444.5458341794183,444.45174724658426,445.3009006505057,444.68718779343305
0.23999999999999996,-0.0003259666748983916,-7.169539123247626e-05,10.086335337187371,6.280605312110492,0.004347611704321963,0.0,-0.004589594301698549,-0.0016154948955052926,0.5917783636268771,-0.016332022406452224,0.030694595579967718,0.0,420.35705545545903,421.4181546143795,420.6570300620621,421.20905491532295
0.3,-0.0007133000321650564,-0.00023172187894079815,10.12761853305528,6.280586162959651,0.007356782061542333,0.0,-0.00861939918212186,-0.003763176250222955,0.78421392947022,0.020439540384037367,0.07366991207005522,0.0,464.22371854479894,467.58446611939195,464.05080109221626,466.92794821224663
0.36000000000000004,-0.001390017275636627,-0.0005036192973534695,10.17653773829688,6.28203075665979,0.011657275492603425,0.0,-0.014358152156487159,-0.005170402338167672,0.8463784355458981,0.030505429383312174,0.06735482092666548,0.0,426.0150487171289,425.47899561464175,424.5756378962261,425.4383588196041
0.4200000000000001,-0.0024864721419213236,-0.0008293657769005653,10.228603931486768,0.0005360984410485159,0.015655743030322355,0.0,-0.022565954551210774,-0.005522701615192735,0.8891239014929905,0.023060497422071505,0.06517486855076815,0.0,418.4910083928731,418.3048536620565,420.1282147492384,419.4825580533991
0.48000000000000015,-0.004213154907648425,-0.0011413466140309896,10.28702361162125,0.0027886333682367592,0.01987984205484139,0.0,-0.03544605395296892,-0.0046620636347166735,1.0580491857029406,0.056937312661607765,0.07920897006116973,0.0,458.56074891947,459.67764126008825,457.72853206635625,460.4168057685819
0.5400000000000001,-0.006851169293264496,-0.001336786607455206,10.357475004014866,0.006247150787005218,0.024306598629054932,0.0,-0.053044623441315567,-0.0014356318314914756,1.2900837951093478,0.05901470630093877,0.0597819519827737,0.0,478.75647447900417,477.2799598304569,478.1805046892591,478.3407480777968
0.6000000000000002,-0.01040347096445745,-0.0013209229087111543,10.432007194330684,0.009630932001466697,0.028277328186313788,0.0,-0.06564591837131911,0.0022184263864590435,1.1944189339424496,0.050567363077393054,0.07660772932930884,0.0,371.46660766897446,373.1168684355641,371.1028133747635,370.27563102659667
0.6600000000000003,-0.014949524826809349,-0.0009753632217034985,10.506845353737958,0.012802406094150953,0.03313715033909759,0.0,-0.08637346908210246,0.009618332180809742,1.3000530168566602,0.05708350022778685,0.08857681960198771,0.0,439.9540926982182,440.94918341320283,439.7375038217043,440.2787461873475
0.7200000000000003,-0.02096546869716806,-7.026723864816134e-05,10.591608499430873,0.01599351428001139,0.03820692944281401,0.0,-0.1147764941090168,0.02094789425350592,1.5250833242747968,0.04395545724947847,0.0747475961138769,0.0,476.57304021378854,475.5202147160615,477.9326735660242,476.9327615034575
0.7800000000000004,-0.02868484657412973,0.0015383707634707838,10.686773768635707,0.018959503639027986,0.0424668339490859,0.0,-0.14299137580343654,0.032966935634941144,1.6468989930724016,0.058598406834088915,0.062190523579103124,0.0,447.1021125182589,446.08176380800154,445.34330114373506,446.54078994325357
0.8400000000000004,-0.0381472067074595,0.0039175177926802866,10.788365706015739,0.02277897883248947,0.046128298641471055,0.0,-0.17278828348441536,0.04670643228289476,1.739335932307796,0.07222523911978003,0.0585849397159787,0.0,437.9426368716845,437.64537113755677,436.50411704588174,437.6427083233264
0.9000000000000005,-0.04976625114898533,0.007350498526489658,10.901793813584442,0.027320291227121096,0.049523492500819444,0.0,-0.2149469898189754,0.06830006044422447,2.041071836067117,0.08184095973121949,0.052257919401297794,0.0,500.07910692624563,499.61985125246207,499.76642495558843,500.4705286910696
0.9600000000000005,-0.06366367119283399,0.01201264053524318,11.026532491513692,0.033162020078012944,0.0527835547740656,0.0,-0.2486093434201014,0.08763962447846901,2.116710093253088,0.11768192003763395,0.058192251867016764,0.0,432.8884493214544,433.3895434341144,432.525281841123,435.54092177219235
1.0200000000000005,-0.07976267442494812,0.018032410845643283,11.157955234226057,0.040331194039849194,0.056451412699835224,0.0,-0.28840091515098265,0.11378402603071244,2.2637123115793303,0.12286742385359724,0.0664391608292931,0.0,455.6984103698733,456.359674906307,456.45401796277827,456.8800500864122
1.0800000000000005,-0.09832672384222436,0.025776312186791356,11.298090876488581,0.047949442440778256,0.06012476661085486,0.0,-0.3308037861068701,0.14514598001057483,2.4071158580979786,0.13411548678739238,0.04794435822057895,0.0,456.05630716095806,454.57923114382726,456.1621892508112,457.07362527721347
1.1400000000000006,-0.1193143676134279,0.03541097396456025,11.443575183447047,0.05579102866207819,0.06286559785818557,0.0,-0.3690416607392252,0.17673922910481782,2.4422230745580644,0.12278698524261558,0.040719366203627004,0.0,423.1788257617493,422.5577907980671,422.2113053175598,421.2494175511617
